Afkomst,Gerecht,Ingrediënten,Wijnsoort,Smaakprofiel,Wijnstijl
Nederland,Kipspies met Paprika Hollands met truffel,"kip, ui, paprika",Rosé,"Licht, Fruitig, Fris",Rosé
Italië,Lasagne alla Bolognese Rustico speciale editie,"ui, tomaat, gehakt, kaas, knoflook",Chianti,"Droog, Kruidig, Vol",Rood
Spanje,Tortilla Española Catalana met verse basilicum,"aardappel, ui, ei",Garnacha,"Fruitig, Rond, Zacht",Rood
Spanje,Paella Valenciana Casera met verse groenten,"garnalen, saffraan, rijst, kip",Tempranillo,"Aards, Vol, Krachtig",Rood
Frankrijk,Poulet à la Crème Provençale met olijven,"room, boter, kip, champignons",Chardonnay,"Vol, Romig, Droog",Wit
Spanje,Chorizo al Vino del Norte met olijven,"knoflook, rode wijn, chorizo",Tempranillo,"Aards, Vol, Krachtig",Rood
Italië,Bruschetta al Pomodoro Classico met olijven,"stokbrood, olijfolie, basilicum, tomaat",Prosecco,"Fris, Mousserend, Licht",Mousserend
Spanje,Albondigas en Salsa Tradicional met champignons,"tomatensaus, gehaktballetjes, ui",Tempranillo,"Aards, Vol, Krachtig",Rood
Duitsland,Kartoffelsalat Hausgemacht met truffel,"aardappel, ui, azijn",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Spanje,Paella Valenciana Casera met verse basilicum,"rijst, saffraan, garnalen",Tempranillo,"Aards, Vol, Krachtig",Rood
Spanje,Merluza a la Plancha Catalana met olijven,"peterselie, citroen, heek",Albariño,"Fris, Aromatisch, Zacht",Wit
Spanje,Albondigas en Salsa Catalana met verse basilicum,"tomatensaus, ui, gehaktballetjes",Tempranillo,"Aards, Vol, Krachtig",Rood
Spanje,Tortilla Española Casera met verse groenten,"aardappel, ei, ui",Garnacha,"Fruitig, Rond, Zacht",Rood
Spanje,Chorizo al Vino Catalana speciale editie,"rode wijn, chorizo, knoflook",Tempranillo,"Aards, Vol, Krachtig",Rood
Frankrijk,Entrecôte au Poivre Maison met saus,"peper, room, rundvlees",Syrah,"Krachtig, Kruidig, Stevig",Rood
Spanje,Albondigas en Salsa de la Casa speciale editie,"ui, gehaktballetjes, tomatensaus",Tempranillo,"Aards, Vol, Krachtig",Rood
Frankrijk,Boeuf Bourguignon Traditionnel met kruiden,"rundvlees, ui, rode wijn, tijm",Pinot Noir,"Elegant, Droog, Licht",Rood
Italië,Tiramisu Tradizionale speciale editie,"suiker, cacao, mascarpone, koffie, eieren",Prosecco,"Fris, Mousserend, Licht",Mousserend
Duitsland,Bratwurst mit Sauerkraut Klassisch speciale editie,"zuurkool, aardappel, worst",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Italië,Spaghetti alle Vongole Classico met verse groenten,"venusschelpen, olijfolie, knoflook, witte wijn",Pinot Grigio,"Fris, Licht, Droog",Wit
Frankrijk,Quiche Lorraine Maison met saus,"spek, room, kaas, eieren",Chardonnay,"Vol, Romig, Droog",Wit
Spanje,Empanadas Tradicional van de chef,"paprika, gehakt, ui",Garnacha,"Fruitig, Rond, Zacht",Rood
Spanje,Tortilla Española Casera met olijven,"ui, aardappel, ei",Garnacha,"Fruitig, Rond, Zacht",Rood
Frankrijk,Coq au Vin Traditionnel met verse groenten,"ui, kip, spekjes, rode wijn",Pinot Noir,"Elegant, Droog, Licht",Rood
Italië,Spaghetti alle Vongole al Forno met roomsaus,"knoflook, witte wijn, olijfolie",Pinot Grigio,"Fris, Licht, Droog",Wit
Italië,Lasagne alla Bolognese Classico met olijven,"tomaat, ui, gehakt",Chianti,"Droog, Kruidig, Vol",Rood
Italië,Lasagne alla Bolognese alla Casa met verse basilicum,"gehakt, ui, knoflook, kaas, tomaat",Chianti,"Droog, Kruidig, Vol",Rood
Spanje,Tortilla Española de la Casa speciale editie,"ei, aardappel, ui",Garnacha,"Fruitig, Rond, Zacht",Rood
Nederland,Zalm met Dillesaus Ouderwets met roomsaus,"dille, zalm, citroen",Rosé,"Licht, Fruitig, Fris",Rosé
Frankrijk,Canard à l’Orange à la Crème met citroen,"boter, honing, sinaasappel",Pinot Noir,"Elegant, Droog, Licht",Rood
Spanje,Tortilla Española Andaluz speciale editie,"ei, aardappel, ui",Garnacha,"Fruitig, Rond, Zacht",Rood
Frankrijk,Quiche Lorraine au Vin met truffel,"eieren, room, kaas, spek",Chardonnay,"Vol, Romig, Droog",Wit
Nederland,Zalm met Dillesaus Ouderwets met citroen,"dille, zalm, citroen",Rosé,"Licht, Fruitig, Fris",Rosé
Italië,Insalata Caprese alla Casa met verse basilicum,"tomaat, mozzarella, basilicum",Pinot Grigio,"Fris, Licht, Droog",Wit
Frankrijk,Quiche Lorraine Traditionnel met verse basilicum,"spek, eieren, room, kaas",Chardonnay,"Vol, Romig, Droog",Wit
Frankrijk,Boeuf Bourguignon de Lyon met truffel,"ui, rode wijn, tijm, wortel, rundvlees",Pinot Noir,"Elegant, Droog, Licht",Rood
Italië,Bruschetta al Pomodoro Rustico met citroen,"basilicum, olijfolie, stokbrood, tomaat",Prosecco,"Fris, Mousserend, Licht",Mousserend
Frankrijk,Quiche Lorraine à la Crème met saus,"spek, eieren, kaas",Chardonnay,"Vol, Romig, Droog",Wit
Spanje,Gazpacho Andaluz del Mar met truffel,"tomaat, komkommer, olijfolie",Albariño,"Fris, Aromatisch, Zacht",Wit
Italië,Spaghetti alle Vongole alla Toscana van de chef,"venusschelpen, knoflook, olijfolie",Pinot Grigio,"Fris, Licht, Droog",Wit
Italië,Tiramisu alla Casa met truffel,"koffie, suiker, mascarpone, eieren",Prosecco,"Fris, Mousserend, Licht",Mousserend
Italië,Bistecca alla Fiorentina Rustico met olijven,"rundvlees, rozemarijn, olijfolie, citroen",Chianti,"Droog, Kruidig, Vol",Rood
Italië,Tiramisu alla Toscana met citroen,"mascarpone, koffie, cacao",Prosecco,"Fris, Mousserend, Licht",Mousserend
Duitsland,Apfelstrudel Klassisch met verse basilicum,"appel, kaneel, deeg",Riesling,"Zoet, Fris, Aromatisch",Wit
Spanje,Gazpacho Andaluz del Mar van de chef,"komkommer, knoflook, olijfolie",Albariño,"Fris, Aromatisch, Zacht",Wit
Duitsland,Rinderroulade Hausgemacht uit de oven,"augurk, mosterd, rundvlees",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Spanje,Tortilla Española Tradicional uit de oven,"ei, aardappel, ui",Garnacha,"Fruitig, Rond, Zacht",Rood
Nederland,Zalm met Dillesaus Ambachtelijk uit de oven,"dille, citroen, zalm",Rosé,"Licht, Fruitig, Fris",Rosé
Italië,Bruschetta al Pomodoro Rustico met roomsaus,"tomaat, olijfolie, stokbrood",Prosecco,"Fris, Mousserend, Licht",Mousserend
Italië,Lasagne alla Bolognese del Mare met roomsaus,"kaas, tomaat, gehakt, ui",Chianti,"Droog, Kruidig, Vol",Rood
Italië,Bruschetta al Pomodoro Classico met citroen,"tomaat, basilicum, olijfolie",Prosecco,"Fris, Mousserend, Licht",Mousserend
Frankrijk,Entrecôte au Poivre Régionale met olijven,"rundvlees, room, peper",Syrah,"Krachtig, Kruidig, Stevig",Rood
Spanje,Pulpo a la Gallega Andaluz met kruiden,"aardappel, inktvis, paprika",Albariño,"Fris, Aromatisch, Zacht",Wit
Spanje,Patatas Bravas del Norte met olijven,"tomaat, paprika, aardappel",Garnacha,"Fruitig, Rond, Zacht",Rood
Spanje,Gazpacho Andaluz Casera van de chef,"tomaat, olijfolie, komkommer",Albariño,"Fris, Aromatisch, Zacht",Wit
Nederland,Asperges met Ham Ambachtelijk speciale editie,"asperges, boter, ham",Riesling,"Zoet, Fris, Aromatisch",Wit
Frankrijk,Magret de Canard Maison met olijven,"eend, aardappelgratin, rode wijnsaus",Syrah,"Krachtig, Kruidig, Stevig",Rood
Spanje,Paella Valenciana de la Casa met truffel,"rijst, garnalen, kip",Tempranillo,"Aards, Vol, Krachtig",Rood
Duitsland,Kartoffelsalat vom Grill met olijven,"azijn, aardappel, ui",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Spanje,Patatas Bravas Andaluz speciale editie,"tomaat, aardappel, paprika",Garnacha,"Fruitig, Rond, Zacht",Rood
Spanje,Tortilla Española Andaluz met champignons,"aardappel, ei, ui",Garnacha,"Fruitig, Rond, Zacht",Rood
Spanje,Chorizo al Vino Casera met truffel,"rode wijn, chorizo, knoflook",Tempranillo,"Aards, Vol, Krachtig",Rood
Italië,Spaghetti alle Vongole alla Toscana met citroen,"olijfolie, venusschelpen, knoflook, witte wijn",Pinot Grigio,"Fris, Licht, Droog",Wit
Italië,Lasagne alla Bolognese del Mare met citroen,"tomaat, knoflook, gehakt",Chianti,"Droog, Kruidig, Vol",Rood
Frankrijk,Cassoulet à la Crème van de chef,"worst, tomaat, vlees, bonen",Syrah,"Krachtig, Kruidig, Stevig",Rood
Italië,Spaghetti alle Vongole del Mare met champignons,"olijfolie, venusschelpen, witte wijn, knoflook",Pinot Grigio,"Fris, Licht, Droog",Wit
Duitsland,Kartoffelsalat Bayerisch van de chef,"aardappel, ui, azijn",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Spanje,Empanadas de la Casa met olijven,"gehakt, ui, paprika",Garnacha,"Fruitig, Rond, Zacht",Rood
Italië,Spaghetti alle Vongole Classico met olijven,"witte wijn, venusschelpen, knoflook, olijfolie",Pinot Grigio,"Fris, Licht, Droog",Wit
Italië,Insalata Caprese Tradizionale met kruiden,"tomaat, olijfolie, mozzarella",Pinot Grigio,"Fris, Licht, Droog",Wit
Frankrijk,Boeuf Bourguignon à la Crème met kruiden,"ui, rundvlees, rode wijn, wortel, tijm",Pinot Noir,"Elegant, Droog, Licht",Rood
Nederland,Zalm met Dillesaus Ambachtelijk met truffel,"citroen, zalm, dille",Rosé,"Licht, Fruitig, Fris",Rosé
Frankrijk,Filet de Sole à la Crème met champignons,"boter, citroen, vis",Chardonnay,"Vol, Romig, Droog",Wit
Nederland,Pannenkoeken met Appel Ouderwets met saus,"melk, appel, bloem",Rosé,"Licht, Fruitig, Fris",Rosé
Frankrijk,Cassoulet à la Crème met saus,"bonen, vlees, worst, tomaat",Syrah,"Krachtig, Kruidig, Stevig",Rood
Italië,Insalata Caprese alla Casa met truffel,"tomaat, basilicum, mozzarella, olijfolie",Pinot Grigio,"Fris, Licht, Droog",Wit
Italië,Tiramisu Rustico met verse groenten,"cacao, eieren, suiker",Prosecco,"Fris, Mousserend, Licht",Mousserend
Italië,Risotto ai Funghi del Mare met saus,"boter, kaas, room",Pinot Grigio,"Fris, Licht, Droog",Wit
Nederland,Kipspies met Paprika met Kaas met kruiden,"paprika, ui, kip",Rosé,"Licht, Fruitig, Fris",Rosé
Spanje,Tortilla Española del Norte van de chef,"ei, ui, aardappel",Garnacha,"Fruitig, Rond, Zacht",Rood
Italië,Tiramisu al Forno speciale editie,"koffie, eieren, suiker, cacao",Prosecco,"Fris, Mousserend, Licht",Mousserend
Duitsland,Kartoffelsalat Klassisch met olijven,"ui, azijn, aardappel",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Nederland,Kipspies met Paprika met Spekjes met citroen,"kip, ui, paprika",Rosé,"Licht, Fruitig, Fris",Rosé
Italië,Pasta all’Amatriciana alla Toscana met kruiden,"ui, tomaat, peper, pecorino",Chianti,"Droog, Kruidig, Vol",Rood
Frankrijk,Coq au Vin Maison van de chef,"champignons, rode wijn, spekjes, kip",Pinot Noir,"Elegant, Droog, Licht",Rood
Spanje,Merluza a la Plancha del Mar met kruiden,"peterselie, heek, citroen",Albariño,"Fris, Aromatisch, Zacht",Wit
Frankrijk,Magret de Canard au Vin met kruiden,"aardappelgratin, rode wijnsaus, eend",Syrah,"Krachtig, Kruidig, Stevig",Rood
Spanje,Gazpacho Andaluz del Norte met citroen,"tomaat, knoflook, komkommer",Albariño,"Fris, Aromatisch, Zacht",Wit
Nederland,Kipspies met Paprika van het Huis uit de oven,"paprika, kip, ui",Rosé,"Licht, Fruitig, Fris",Rosé
Italië,Pasta all’Amatriciana alla Toscana met olijven,"guanciale, peper, ui, tomaat, pecorino",Chianti,"Droog, Kruidig, Vol",Rood
Italië,Risotto ai Funghi al Forno met truffel,"room, rijst, boter, kaas",Pinot Grigio,"Fris, Licht, Droog",Wit
Spanje,Pulpo a la Gallega Tradicional met verse basilicum,"aardappel, inktvis, paprika",Albariño,"Fris, Aromatisch, Zacht",Wit
Spanje,Empanadas del Norte met roomsaus,"paprika, ui, gehakt",Garnacha,"Fruitig, Rond, Zacht",Rood
Frankrijk,Entrecôte au Poivre Provençale met kruiden,"room, rundvlees, peper",Syrah,"Krachtig, Kruidig, Stevig",Rood
Italië,Fritto Misto alla Toscana met truffel,"citroen, inktvis, bloem, garnalen",Prosecco,"Fris, Mousserend, Licht",Mousserend
Frankrijk,Cassoulet Maison van de chef,"worst, tomaat, vlees",Syrah,"Krachtig, Kruidig, Stevig",Rood
Italië,Spaghetti alle Vongole Rustico met kruiden,"knoflook, olijfolie, venusschelpen, witte wijn",Pinot Grigio,"Fris, Licht, Droog",Wit
Italië,Fritto Misto alla Toscana uit de oven,"bloem, inktvis, citroen",Prosecco,"Fris, Mousserend, Licht",Mousserend
Italië,Lasagne alla Bolognese Classico met verse groenten,"kaas, ui, gehakt, knoflook, tomaat",Chianti,"Droog, Kruidig, Vol",Rood
Spanje,Pulpo a la Gallega del Mar met verse basilicum,"inktvis, aardappel, paprika",Albariño,"Fris, Aromatisch, Zacht",Wit
Italië,Spaghetti alle Vongole alla Casa met citroen,"olijfolie, knoflook, witte wijn, venusschelpen",Pinot Grigio,"Fris, Licht, Droog",Wit
Spanje,Chorizo al Vino del Norte met truffel,"knoflook, rode wijn, chorizo",Tempranillo,"Aards, Vol, Krachtig",Rood
Nederland,Pannenkoeken met Appel Ambachtelijk uit de oven,"appel, bloem, melk",Rosé,"Licht, Fruitig, Fris",Rosé
Frankrijk,Poulet à la Crème Régionale met champignons,"kip, champignons, room",Chardonnay,"Vol, Romig, Droog",Wit
Frankrijk,Coq au Vin de Lyon uit de oven,"ui, rode wijn, champignons, spekjes",Pinot Noir,"Elegant, Droog, Licht",Rood
Spanje,Albondigas en Salsa Andaluz met truffel,"tomatensaus, gehaktballetjes, ui",Tempranillo,"Aards, Vol, Krachtig",Rood
Italië,Pasta all’Amatriciana del Mare met champignons,"guanciale, tomaat, peper, pecorino",Chianti,"Droog, Kruidig, Vol",Rood
Italië,Pasta all’Amatriciana alla Casa met saus,"peper, tomaat, pecorino, ui",Chianti,"Droog, Kruidig, Vol",Rood
Frankrijk,Cassoulet Maison met verse basilicum,"vlees, worst, tomaat, bonen",Syrah,"Krachtig, Kruidig, Stevig",Rood
Frankrijk,Poulet à la Crème Régionale met saus,"room, boter, kip, champignons",Chardonnay,"Vol, Romig, Droog",Wit
Nederland,Haring met Ui Ambachtelijk met roomsaus,"ui, haring",Riesling,"Zoet, Fris, Aromatisch",Wit
Frankrijk,Magret de Canard Maison met truffel,"rode wijnsaus, aardappelgratin, eend",Syrah,"Krachtig, Kruidig, Stevig",Rood
Spanje,Albondigas en Salsa del Mar met verse basilicum,"gehaktballetjes, tomatensaus, ui",Tempranillo,"Aards, Vol, Krachtig",Rood
Frankrijk,Boeuf Bourguignon Régionale met saus,"tijm, rundvlees, ui, rode wijn",Pinot Noir,"Elegant, Droog, Licht",Rood
Nederland,Asperges met Ham met Kaas met champignons,"boter, ham, asperges",Riesling,"Zoet, Fris, Aromatisch",Wit
Frankrijk,Magret de Canard Régionale met olijven,"eend, aardappelgratin, rode wijnsaus",Syrah,"Krachtig, Kruidig, Stevig",Rood
Frankrijk,Filet de Sole Traditionnel uit de oven,"vis, peterselie, citroen",Chardonnay,"Vol, Romig, Droog",Wit
Spanje,Pulpo a la Gallega de la Casa met verse groenten,"aardappel, inktvis, paprika",Albariño,"Fris, Aromatisch, Zacht",Wit
Italië,Spaghetti alle Vongole alla Casa met olijven,"venusschelpen, knoflook, witte wijn, olijfolie",Pinot Grigio,"Fris, Licht, Droog",Wit
Spanje,Paella Valenciana de la Casa van de chef,"saffraan, garnalen, rijst",Tempranillo,"Aards, Vol, Krachtig",Rood
Frankrijk,Quiche Lorraine à la Crème speciale editie,"spek, room, eieren, kaas",Chardonnay,"Vol, Romig, Droog",Wit
Nederland,Kipspies met Paprika Ouderwets met truffel,"kip, paprika, ui",Rosé,"Licht, Fruitig, Fris",Rosé
Frankrijk,Entrecôte au Poivre à la Crème speciale editie,"room, peper, rundvlees",Syrah,"Krachtig, Kruidig, Stevig",Rood
Italië,Insalata Caprese del Mare met champignons,"mozzarella, olijfolie, tomaat",Pinot Grigio,"Fris, Licht, Droog",Wit
Spanje,Patatas Bravas del Norte uit de oven,"tomaat, aardappel, paprika",Garnacha,"Fruitig, Rond, Zacht",Rood
Frankrijk,Filet de Sole Régionale met citroen,"citroen, vis, peterselie, boter",Chardonnay,"Vol, Romig, Droog",Wit
Frankrijk,Poulet à la Crème de Lyon met saus,"champignons, room, boter, kip",Chardonnay,"Vol, Romig, Droog",Wit
Italië,Spaghetti alle Vongole alla Casa speciale editie,"olijfolie, witte wijn, venusschelpen",Pinot Grigio,"Fris, Licht, Droog",Wit
Italië,Tiramisu del Mare met citroen,"eieren, koffie, cacao, mascarpone, suiker",Prosecco,"Fris, Mousserend, Licht",Mousserend
Frankrijk,Cassoulet Traditionnel speciale editie,"worst, vlees, tomaat",Syrah,"Krachtig, Kruidig, Stevig",Rood
Italië,Pasta all’Amatriciana alla Toscana met champignons,"ui, peper, guanciale, tomaat",Chianti,"Droog, Kruidig, Vol",Rood
Spanje,Gazpacho Andaluz de la Casa met verse groenten,"komkommer, tomaat, olijfolie, knoflook",Albariño,"Fris, Aromatisch, Zacht",Wit
Frankrijk,Magret de Canard à la Crème uit de oven,"eend, rode wijnsaus, aardappelgratin",Syrah,"Krachtig, Kruidig, Stevig",Rood
Frankrijk,Canard à l’Orange Maison met olijven,"sinaasappel, boter, eend, honing",Pinot Noir,"Elegant, Droog, Licht",Rood
Italië,Bruschetta al Pomodoro alla Toscana met kruiden,"tomaat, olijfolie, stokbrood",Prosecco,"Fris, Mousserend, Licht",Mousserend
Italië,Spaghetti alle Vongole Tradizionale speciale editie,"olijfolie, knoflook, venusschelpen",Pinot Grigio,"Fris, Licht, Droog",Wit
Italië,Spaghetti alle Vongole al Forno met olijven,"witte wijn, venusschelpen, knoflook, olijfolie",Pinot Grigio,"Fris, Licht, Droog",Wit
Frankrijk,Canard à l’Orange Maison van de chef,"eend, sinaasappel, boter",Pinot Noir,"Elegant, Droog, Licht",Rood
Italië,Bruschetta al Pomodoro del Mare met champignons,"tomaat, stokbrood, olijfolie, basilicum",Prosecco,"Fris, Mousserend, Licht",Mousserend
Frankrijk,Coq au Vin Traditionnel met roomsaus,"spekjes, kip, rode wijn, ui",Pinot Noir,"Elegant, Droog, Licht",Rood
Italië,Insalata Caprese del Mare met roomsaus,"basilicum, olijfolie, tomaat",Pinot Grigio,"Fris, Licht, Droog",Wit
Italië,Bistecca alla Fiorentina Tradizionale met olijven,"peper, rozemarijn, rundvlees, citroen, olijfolie",Chianti,"Droog, Kruidig, Vol",Rood
Italië,Insalata Caprese Tradizionale met truffel,"olijfolie, mozzarella, tomaat",Pinot Grigio,"Fris, Licht, Droog",Wit
Duitsland,Rinderroulade Hausgemacht met champignons,"rundvlees, mosterd, augurk",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Italië,Pasta all’Amatriciana al Forno met verse basilicum,"pecorino, peper, tomaat, guanciale, ui",Chianti,"Droog, Kruidig, Vol",Rood
Italië,Fritto Misto al Forno met champignons,"citroen, inktvis, bloem",Prosecco,"Fris, Mousserend, Licht",Mousserend
Frankrijk,Filet de Sole Régionale met verse basilicum,"citroen, vis, peterselie, boter",Chardonnay,"Vol, Romig, Droog",Wit
Duitsland,Apfelstrudel Bayerisch speciale editie,"kaneel, deeg, appel",Riesling,"Zoet, Fris, Aromatisch",Wit
Duitsland,Rinderroulade vom Grill met roomsaus,"mosterd, rundvlees, augurk",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Frankrijk,Quiche Lorraine Maison met citroen,"spek, kaas, eieren",Chardonnay,"Vol, Romig, Droog",Wit
Spanje,Chorizo al Vino Casera met citroen,"rode wijn, chorizo, knoflook",Tempranillo,"Aards, Vol, Krachtig",Rood
Duitsland,Sauerbraten Bayerisch met olijven,"ui, azijn, rundvlees",Riesling,"Zoet, Fris, Aromatisch",Wit
Spanje,Merluza a la Plancha Andaluz met verse groenten,"heek, peterselie, citroen",Albariño,"Fris, Aromatisch, Zacht",Wit
Duitsland,Rinderroulade Rheinisch met saus,"mosterd, augurk, rundvlees",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Spanje,Gazpacho Andaluz Tradicional met champignons,"komkommer, tomaat, olijfolie",Albariño,"Fris, Aromatisch, Zacht",Wit
Nederland,Pannenkoeken met Appel van het Huis met citroen,"bloem, melk, appel",Rosé,"Licht, Fruitig, Fris",Rosé
Spanje,Tortilla Española del Mar met champignons,"ei, aardappel, ui",Garnacha,"Fruitig, Rond, Zacht",Rood
Italië,Bistecca alla Fiorentina Classico met saus,"peper, rundvlees, citroen",Chianti,"Droog, Kruidig, Vol",Rood
Frankrijk,Entrecôte au Poivre au Vin met citroen,"peper, room, rundvlees",Syrah,"Krachtig, Kruidig, Stevig",Rood
Spanje,Merluza a la Plancha del Norte van de chef,"citroen, heek, peterselie",Albariño,"Fris, Aromatisch, Zacht",Wit
Spanje,Pulpo a la Gallega del Mar met kruiden,"aardappel, paprika, inktvis",Albariño,"Fris, Aromatisch, Zacht",Wit
Frankrijk,Canard à l’Orange Régionale met truffel,"eend, sinaasappel, honing, boter",Pinot Noir,"Elegant, Droog, Licht",Rood
Duitsland,Apfelstrudel Rheinisch van de chef,"appel, deeg, kaneel",Riesling,"Zoet, Fris, Aromatisch",Wit
Frankrijk,Boeuf Bourguignon Régionale met kruiden,"tijm, rode wijn, ui",Pinot Noir,"Elegant, Droog, Licht",Rood
Frankrijk,Filet de Sole Provençale met olijven,"citroen, peterselie, boter",Chardonnay,"Vol, Romig, Droog",Wit
Spanje,Tortilla Española Andaluz met roomsaus,"ui, ei, aardappel",Garnacha,"Fruitig, Rond, Zacht",Rood
Duitsland,Bratwurst mit Sauerkraut Rheinisch met champignons,"aardappel, zuurkool, worst",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Spanje,Gazpacho Andaluz de la Casa met champignons,"komkommer, tomaat, knoflook",Albariño,"Fris, Aromatisch, Zacht",Wit
Spanje,Empanadas del Norte met saus,"paprika, ui, gehakt",Garnacha,"Fruitig, Rond, Zacht",Rood
Nederland,Kibbeling met Kaas uit de oven,"citroen, beslag, witvis",Riesling,"Zoet, Fris, Aromatisch",Wit
Frankrijk,Entrecôte au Poivre de Lyon met verse basilicum,"peper, rundvlees, room",Syrah,"Krachtig, Kruidig, Stevig",Rood
Spanje,Tortilla Española Andaluz met verse basilicum,"ei, aardappel, ui",Garnacha,"Fruitig, Rond, Zacht",Rood
Frankrijk,Quiche Lorraine au Vin van de chef,"spek, kaas, eieren, room",Chardonnay,"Vol, Romig, Droog",Wit
Duitsland,Kartoffelsalat vom Grill met verse basilicum,"aardappel, ui, azijn",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Spanje,Paella Valenciana del Norte met truffel,"saffraan, kip, garnalen",Tempranillo,"Aards, Vol, Krachtig",Rood
Italië,Fritto Misto al Forno speciale editie,"bloem, garnalen, citroen",Prosecco,"Fris, Mousserend, Licht",Mousserend
Italië,Fritto Misto al Forno met olijven,"citroen, inktvis, garnalen, bloem",Prosecco,"Fris, Mousserend, Licht",Mousserend
Frankrijk,Cassoulet Traditionnel met verse basilicum,"tomaat, vlees, bonen",Syrah,"Krachtig, Kruidig, Stevig",Rood
Nederland,Zalm met Dillesaus met Spekjes met truffel,"dille, zalm, citroen",Rosé,"Licht, Fruitig, Fris",Rosé
Spanje,Paella Valenciana Andaluz met citroen,"kip, saffraan, rijst",Tempranillo,"Aards, Vol, Krachtig",Rood
Nederland,Asperges met Ham Ambachtelijk met olijven,"asperges, boter, ham",Riesling,"Zoet, Fris, Aromatisch",Wit
Duitsland,Apfelstrudel Hausgemacht van de chef,"appel, kaneel, deeg",Riesling,"Zoet, Fris, Aromatisch",Wit
Spanje,Tortilla Española del Mar met olijven,"aardappel, ui, ei",Garnacha,"Fruitig, Rond, Zacht",Rood
Italië,Risotto ai Funghi alla Casa van de chef,"room, boter, kaas",Pinot Grigio,"Fris, Licht, Droog",Wit
Italië,Tiramisu alla Casa met kruiden,"mascarpone, cacao, suiker, koffie",Prosecco,"Fris, Mousserend, Licht",Mousserend
Frankrijk,Coq au Vin à la Crème met champignons,"kip, champignons, rode wijn, spekjes, ui",Pinot Noir,"Elegant, Droog, Licht",Rood
Spanje,Gazpacho Andaluz Andaluz speciale editie,"olijfolie, knoflook, tomaat, komkommer",Albariño,"Fris, Aromatisch, Zacht",Wit
Frankrijk,Canard à l’Orange Provençale met verse basilicum,"honing, boter, eend, sinaasappel",Pinot Noir,"Elegant, Droog, Licht",Rood
Spanje,Pulpo a la Gallega del Norte met verse basilicum,"aardappel, paprika, inktvis",Albariño,"Fris, Aromatisch, Zacht",Wit
Frankrijk,Boeuf Bourguignon au Vin met verse groenten,"rode wijn, ui, tijm, rundvlees",Pinot Noir,"Elegant, Droog, Licht",Rood
Nederland,Pannenkoeken met Appel met Kaas met roomsaus,"appel, melk, bloem",Rosé,"Licht, Fruitig, Fris",Rosé
Spanje,Albondigas en Salsa Andaluz met citroen,"tomatensaus, ui, gehaktballetjes",Tempranillo,"Aards, Vol, Krachtig",Rood
Frankrijk,Entrecôte au Poivre Traditionnel met verse groenten,"peper, rundvlees, room",Syrah,"Krachtig, Kruidig, Stevig",Rood
Italië,Pasta all’Amatriciana del Mare met kruiden,"ui, peper, pecorino",Chianti,"Droog, Kruidig, Vol",Rood
Italië,Bistecca alla Fiorentina Rustico speciale editie,"citroen, rundvlees, rozemarijn, olijfolie, peper",Chianti,"Droog, Kruidig, Vol",Rood
Nederland,Pannenkoeken met Appel met Spekjes met truffel,"melk, appel, bloem",Rosé,"Licht, Fruitig, Fris",Rosé
Nederland,Haring met Ui van het Huis met roomsaus,"haring, ui",Riesling,"Zoet, Fris, Aromatisch",Wit
Italië,Insalata Caprese Tradizionale met verse groenten,"mozzarella, tomaat, olijfolie",Pinot Grigio,"Fris, Licht, Droog",Wit
Nederland,Kibbeling Hollands met champignons,"witvis, beslag, citroen",Riesling,"Zoet, Fris, Aromatisch",Wit
Nederland,Pannenkoeken met Appel Ouderwets met champignons,"bloem, appel, melk",Rosé,"Licht, Fruitig, Fris",Rosé
Duitsland,Apfelstrudel Bayerisch met truffel,"appel, kaneel, deeg",Riesling,"Zoet, Fris, Aromatisch",Wit
Frankrijk,Filet de Sole au Vin met champignons,"boter, citroen, vis",Chardonnay,"Vol, Romig, Droog",Wit
Frankrijk,Boeuf Bourguignon Provençale met champignons,"ui, rode wijn, wortel, tijm, rundvlees",Pinot Noir,"Elegant, Droog, Licht",Rood
Italië,Insalata Caprese Rustico van de chef,"basilicum, olijfolie, mozzarella",Pinot Grigio,"Fris, Licht, Droog",Wit
Italië,Risotto ai Funghi alla Toscana met truffel,"rijst, boter, paddenstoelen",Pinot Grigio,"Fris, Licht, Droog",Wit
Italië,Bistecca alla Fiorentina alla Casa met champignons,"peper, rundvlees, olijfolie, rozemarijn, citroen",Chianti,"Droog, Kruidig, Vol",Rood
Frankrijk,Filet de Sole de Lyon met verse basilicum,"boter, citroen, peterselie",Chardonnay,"Vol, Romig, Droog",Wit
Frankrijk,Cassoulet à la Crème met kruiden,"vlees, worst, bonen",Syrah,"Krachtig, Kruidig, Stevig",Rood
